Pub Med ID,Answers,MoA
22952075,The receptor(s) are: alpha7 nicotinic acetylcholine receptor. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha7 nicotinic acetylcholine receptor partial agonist.,Partial Agonist
26834462,The receptor(s) are: dopamine. The subtype(s) are: D3 and D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D3-preferring D3/D2 receptor partial agonist.,Partial Agonist
16300872,"The receptor(s) are: dopamine and 5-HT (serotonin). The subtype(s) are: D2, 5-HT2A, and partial 5-HT1A agonist. The binding mode is: antagonist and partial agonist. Therefore the mechanism of action is: dopamine D2 and serotonin 5-HT2A antagonist, and partial 5-HT1A agonist.",Partial Agonist
27565651,The receptor(s) are: alpha7-nicotinic acetylcholine. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: alpha7-nicotinic receptor partial agonist.,Partial Agonist
28838583,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: dopamine D2 receptor partial agonist.,Partial Agonist
28478771,The receptor(s) are: dopamine. The subtype(s) are: D3 and D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D3 and D2 receptor partial agonist.,Partial Agonist
27543252,The receptor(s) are: nicotinic acetylcholine. The subtype(s) are: α4β2 and α7. The binding mode(s) are: partial and full agonist. Therefore the mechanism of action is: nicotinic α4β2 and α7 receptor partial and full agonist.,Partial Agonist
25981348,"The receptor(s) are: dopamine. The subtype(s) are: N/A (Aripiprazole acts as a partial agonist at dopamine D2 and D3 receptors, among others). The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine partial agonist.",Partial Agonist
27427558,The receptor(s) are: dopamine. The subtype(s) are: D3 and D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D3 and D2 receptor partial agonist.,Partial Agonist
33138708,"The drugs being evaluated are varenicline, bupropion, and nicotine replacement therapy (NRT), which are all smoking cessation aids. There is no specific mention of receptor subtypes or mechanisms of action in the article.",Partial Agonist
24096218,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode(s) are: partial agonist for aripiprazole and D2 antagonist for risperidone. Therefore the mechanism of action for aripiprazole is dopamine D2 receptor partial agonist and for risperidone is dopamine D2 receptor antagonist.,Partial Agonist
19238124,"The receptor(s) are: dopamine and serotonin. The subtype(s) for dopamine is: D2, and for serotonin are: 5-HT1A and 5-HT2A. The binding mode is: partial agonist for dopamine D2 receptor, and antagonist for serotonin 5-HT2A receptor. Therefore the mechanism of action is: dopamine D2 receptor partial agonist and serotonin receptor modulator.",Partial Agonist
16810506,The receptor(s) are: dopamine. The subtype(s) are: D2 and D3. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 and D3 receptor partial agonist.,Partial Agonist
21723096,"The drug is D-cycloserine, which is a partial agonist at the glycine site of the NMDA receptor. The receptor subtype(s) is NMDA. Therefore, the mechanism of action is NMDA receptor partial agonist.",Partial Agonist
18765484,"The receptor(s) are: dopamine. The subtype(s) are: N/A, but the drug is described as a dopamine partial agonist. Therefore the mechanism of action is dopamine partial agonist.",Partial Agonist
21432752,The receptor(s) are: dopamine. The subtype(s) are: N/A. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: dopamine partial agonist.,Partial Agonist
19512978,"The receptor(s) are: dopamine and serotonin. The subtype(s) are: D2, 5-HT1A, and 5-HT2A. The binding mode(s) are: high-affinity partial agonist and potent antagonist. Therefore the mechanism of action is: dopamine D2 and serotonin 5-HT1A receptor partial agonist and 5-HT2A receptor antagonist.",Partial Agonist
24412468,The receptor(s) are: dopamine. The subtype(s) are: D3 and D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D3 and D2 receptor partial agonist.,Partial Agonist
20817153,The receptor(s) are: N-methyl-D-aspartate (NMDA). The subtype(s) are: not specified. The binding mode is: partial agonist. Therefore the mechanism of action is: NMDA receptor partial agonist.,Partial Agonist
1679338,The receptor(s) are: dopamine. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine partial agonist.,Partial Agonist
16237386,The receptor(s) are: serotonin. The subtype(s) are: 5-HT1A. The binding mode is: partial agonist. Therefore the mechanism of action is: serotonin-1A receptor partial agonist.,Partial Agonist
20562170,"The drug being evaluated is buspirone, and the receptor subtype is serotonin-1A (5-HT(1A)). The binding mode is partial agonist. Therefore the mechanism of action is 5-HT(1A) receptor partial agonist. Estrogen is not a drug being evaluated, but rather a physiological hormone being studied for its effect on the interaction with the 5-HT(1A) receptor function.",Partial Agonist
10553752,The receptor(s) are: N-methyl-D-aspartate (NMDA). The subtype(s) are: glycine site on the NMDA receptor. The binding mode is: full agonist. Therefore the mechanism of action is: NMDA receptor glycine full agonist.,Partial Agonist
19387614,"The drug being evaluated is aripiprazole. The receptor(s) targeted are: dopamine D2 and D3, serotonin 1A and 2A (HTR2A). The binding mode(s) are: partial agonist for dopamine receptors and antagonist for serotonin 2A. Therefore, the mechanism of action is: dopamine D2 and D3 partial agonist and serotonin 1A partial agonist/serotonin 2A antagonist.",Partial Agonist
25056368,The receptor(s) are: dopamine. The subtype(s) are: D3 and D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D3 and D2 receptor partial agonist.,Partial Agonist
26730716,The receptor(s) are: nicotinic. The subtype(s) are: N/A. The binding mode is: partial agonist. Therefore the mechanism of action is: nicotinic partial agonist.,Partial Agonist
27807604,The receptor(s) are: dopamine. The subtype(s) are: D2 and D3. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 and D3 receptor partial agonist.,Partial Agonist
21062637,"The receptor(s) are: CB1/2 and NMDA glutamate. The subtype(s) are: N/A for CB1/2, and NMDA for NMDA glutamate. The binding mode(s) are: weak partial agonist or antagonist for CB1/2 and antagonist for NMDA glutamate. Therefore the mechanism of action is: CB1/2 receptor partial agonist or antagonist and NMDA glutamate receptor antagonist.",Partial Agonist
22048460,The receptor(s) are: nicotine acetylcholine. The subtype(s) are: α4β2 and α7. The binding mode(s) are: partial agonist at α4β2 and full agonist at α7. Therefore the mechanism of action is: nicotine acetylcholine receptor partial agonist at α4β2 and full agonist at α7.,Partial Agonist
24923986,"The drug being evaluated is yokukansan (YKS), which is a D2 and 5HT1A partial agonist and 5HT2A and glutamate antagonist. The receptor(s) targeted are dopamine and serotonin, with the subtypes being D2, 5HT1A, and 5HT2A. Therefore, the mechanism of action is: dopamine D2 and serotonin 5HT1A partial agonist and serotonin 5HT2A and glutamate antagonist.",Partial Agonist
32297486,"The drug being evaluated is brexpiprazole, an antipsychotic agent. The mechanism of action and receptor subtype(s) are not specified in the article.",Partial Agonist
21810630,"The drug being evaluated is varenicline, which is a relatively specific α4β2 partial agonist and antagonist, targeting nicotinic acetylcholine receptors (nAChRs). The mechanism of action is to exert α4β2-specific effects while minimizing adverse effects. The specific nAChR subtype being targeted is α4β2.",Partial Agonist
30695290,"The receptor(s) are: dopamine and serotonin. The subtype(s) are: D₃, D₂, and 5-HT1A. The binding mode(s) are: partial agonist. Therefore the mechanism of action is: dopamine D₃/D₂ receptor and serotonin 5-HT1A receptor partial agonist.",Partial Agonist
21616975,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 receptor partial agonist.,Partial Agonist
18848860,"The drug being evaluated is aripiprazole, which is a dopamine partial agonist with high affinity for dopamine D2 receptors. Therefore, the mechanism of action is dopamine D2 receptor partial agonist. There is no mention of any other drug or receptor subtype being evaluated in the article.",Partial Agonist
35012696,"The receptor(s) are: dopamine. The subtype(s) are: D3 and D2. However, the article does not specify the binding mode. Therefore, the mechanism of action is: dopamine D3 and D2 receptor agonist or partial agonist (depending on the binding mode).",Partial Agonist
26075487,The receptor(s) are: dopamine. The subtype(s) are: D3 and D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D3 and D2 receptor partial agonist.,Partial Agonist
19302829,The receptor(s) are: dopamine. The subtype(s) are: D2 and D3. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 and D3 receptor partial agonist.,Partial Agonist
21105281,"The receptor(s) are: serotonin. The subtype(s) are: 5-HT1A. The binding mode is: partial agonist. Therefore the mechanism of action is: serotonin 5-HT1A receptor partial agonist. Additionally, the drugs being evaluated are: risperidone (antipsychotic agent) and buspirone (serotonin 5-HT1A receptor agonist).",Partial Agonist
16723179,"The receptor(s) are: dopamine D2 and 5-HT2A, and partial agonist for 5-HT1A. The binding mode(s) are: antagonist for D2 and 5-HT2A, and partial agonist for 5-HT1A. Therefore the mechanism of action is: dopamine D2/5-HT2A antagonist and partial 5-HT1A agonist.",Partial Agonist
22198450,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 receptor partial agonist.,Partial Agonist
16140281,"The receptor(s) are: gamma-aminobutyric acid type A (GABA(A)) and serotonergic (5-HT(2A/2C)). The subtype(s) are: N/A for GABA(A) and 5-HT(2A/2C) for serotonergic. The binding mode(s) are: antagonist and partial inverse agonist for GABA(A) and partial agonist for serotonergic. Therefore the mechanism of action is: GABA(A) receptor antagonist and partial inverse agonist, and serotonergic 5-HT(2A/2C) receptor partial agonist.",Partial Agonist
15023571,"The target is the glycine transporter-1, and the drug is N-methylglycine (sarcosine), which is an endogenous antagonist of the transporter. The receptor subtype(s) referenced in the article is the glycine site of the N-methyl-D-aspartate receptor, which is potentiated by glycine's action. The binding mode is not specified, but sarcosine is described as potentiating glycine's action, which suggests it may be acting as an agonist. Therefore, the mechanism of action is glycine transporter-1 inhibition and potential agonist effects on the glycine site of the N-methyl-D-aspartate receptor.",Partial Agonist
19451828,The receptor(s) are: dopamine. The subtype(s) are: D2. The binding mode is: partial agonist. Therefore the mechanism of action is: dopamine D2 receptor partial agonist.,Partial Agonist
7541598,"There are multiple drugs mentioned in the article with different mechanisms of action and receptor subtypes. Levodopa, amphetamines, and bromocriptine are dopamine agonists, and MAR 327 is a partial dopamine agonist. Tricyclic antidepressants, selective serotonin reuptake inhibitors, and monoamine oxidase inhibitors affect serotonin transmission. Glycine and NMDA modulators affect GABAergic transmission. Clozapine and risperidone are combined serotonin/dopamine antagonists, specifically targeting 5-HT2 and D2 receptors.",Partial Agonist
14609439,"The receptor(s) are: dopamine and serotonin. The subtype(s) for dopamine are D2 and 5-HT1A, and for serotonin it is 5-HT2A. The binding mode is: dopamine D2 partial agonist, dopamine 5-HT1A partial agonist, and serotonin 5-HT2A antagonist. Therefore the mechanism of action is: dopamine and serotonin receptor partial agonist and antagonist.",Partial Agonist
1348584,"The receptor(s) are: dopamine. The subtype(s) are: N/A, but terguride is a partial dopamine agonist. Therefore the mechanism of action is: dopamine partial agonist.",Partial Agonist
8102048,"The drug being evaluated is m-chlorophenylpiperazine (MCPP), which is a serotonin partial agonist. The receptor subtype(s) are not specified in the article.",Partial Agonist
19386475,The receptor(s) are: serotonin-5-HT(1A). The subtype(s) are: 5-HT(1A). The binding mode is: partial agonist. Therefore the mechanism of action is: serotonin-5-HT(1A) receptor partial agonist.,Partial Agonist
29619682,The mechanism of action is a multimodal dopamine (D)-serotonin (5-HT) stabilizer with partial agonist activity for D. The subtype(s) of the receptors are not specified in the abstract.,Partial Agonist
12084415,The receptor(s) are: NMDA. The subtype(s) are: glycine recognition site. The binding mode is: partial agonist. Therefore the mechanism of action is: NMDA receptor partial agonist at the glycine recognition site.,Partial Agonist
8944393,The drug being evaluated is meta-chlorophenylpiperazine (mCPP) which is a serotonin (5-HT) receptor partial agonist with high affinity for 5-HT1C binding sites. The receptor subtype(s) being targeted are 5-HT1C binding sites.,Partial Agonist
10071726,The mechanism of action is: partial agonist at the glycine recognition site of the NMDA receptor. The receptor subtype(s) are: NMDA.,Partial Agonist
11720694,The receptor(s) are: serotonin. The subtype(s) are: 5-HT1A. The binding mode is: partial agonist. Therefore the mechanism of action is: serotonin 5-HT1A receptor partial agonist.,Partial Agonist
15061240,"The receptor(s) are: N-methyl-D-aspartate (NMDA) receptors. The subtype(s) are: N/A. The binding mode(s) are: full agonists, specifically glycine and D-serine, and partial agonist, specifically D-cycloserine. Therefore the mechanism of action is: NMDA receptor agonists, with full agonists potentially being more effective than partial agonists in treating persistent negative symptoms of schizophrenia.",Partial Agonist
22697189,The receptor(s) are: dopamine. The subtype(s) are: partial agonist. The binding mode is: intramuscular depot formulation. Therefore the mechanism of action is: dopamine D2 receptor partial agonist.,Partial Agonist
9466160,"The drug(s) being evaluated are buspirone and mianserin. 
The receptor(s) are: serotonin. 
The subtype(s) for buspirone is 5-HT1A (partial agonist) and for mianserin is 5-HT2A/2C (antagonist).
Therefore, the mechanism of action for buspirone is: serotonin 5-HT1A partial agonist, and for mianserin is: serotonin 5-HT2A/2C antagonist.",Partial Agonist
7625475,The receptor(s) are: N-methyl-D-aspartate (NMDA) subtype of glutamate. The subtype(s) are: glycine-site. The binding mode is: partial agonist. Therefore the mechanism of action is: partial agonist at the glycine site of the NMDA subtype of the glutamate receptor.,Partial Agonist
9564205,The receptor(s) are: dopamine autoreceptors and dopamine D2/D3 receptors. The binding mode(s) are: agonist and partial agonist. Therefore the mechanism of action is: dopamine autoreceptor agonist and partial dopamine D2/D3 agonist.,Partial Agonist
15502972,The receptor(s) are: N-methyl-D-aspartate (NMDA). The subtype(s) are: glycine site. The binding mode is: partial agonist. Therefore the mechanism of action is: NMDA receptor partial agonist at the glycine site.,Partial Agonist
32868522,"The drug being evaluated is aripiprazole, which is a dopamine partial agonist. The receptor subtype being targeted is the dopamine D2 receptor.",Partial Agonist
12860772,"The receptor(s) are: dopamine and serotonin. The subtype(s) are: D2, 5HT1A, and 5HT2A. The binding mode(s) are: partial agonist for dopamine D2 and serotonin 5HT1A receptors, and antagonist for serotonin 5HT2A receptors. Therefore, the mechanism of action is: dopamine D2 and serotonin 5HT1A partial agonist and serotonin 5HT2A antagonist.",Partial Agonist
28558941,The drug(s) mentioned in the article are aripiprazole and risperidone. The mechanism of action is partial dopamine D2-receptor agonist for aripiprazole and dopamine receptor antagonist for risperidone. The receptor subtype(s) mentioned are the dopamine D2-receptor for aripiprazole and dopamine receptors in general for risperidone.,Partial Agonist
9892252,The receptor(s) are: N-methyl-D-aspartate (NMDA). The subtype(s) are: glycine modulatory site of NMDA receptor. The binding mode is: partial agonist. Therefore the mechanism of action is: partial agonist at the glycine modulatory site of the NMDA receptor.,Partial Agonist
18597078,The receptor(s) are: dopamine. The subtype(s) are: N/A (the drug has a unique receptor-binding profile). The binding mode is: partial agonist. Therefore the mechanism of action is: partial dopamine agonist with potential antipsychotic properties.,Partial Agonist
28215471,"The mechanism of action is: dopamine serotonin stabilizer. The receptor(s) are: dopamine and serotonin, but specific subtypes are not mentioned. The binding mode is not specified.",Partial Agonist
31688449,"The drug(s) being evaluated in this study are antipsychotics, including haloperidol, flupentixol, olanzapine, and aripiprazole. The target of the chemical reaction is the dopamine D2 receptor, and their binding mode is as antagonists for haloperidol, flupentixol, and olanzapine, and as a partial agonist for aripiprazole.",Partial Agonist
16766110,"The drug(s) being evaluated in this study are olanzapine, selective serotonin reuptake inhibitors (SSRI), and benzodiazepines (BZD). The article does not specify the receptor subtype(s) that these drugs act on.",Partial Agonist
22729212,"There is no drug being evaluated in this study. The study is evaluating the effect of different doses of nicotine transdermal patch on smoking reduction and cessation in hospitalized schizophrenic patients. Nonetheless, the mechanism of action of nicotine is as a nicotinic agonist.",Partial Agonist
23609378,The article does not provide information about the specific drugs being evaluated and their mechanism of action or receptor subtype targeted. It only discusses the classification of antipsychotics into typical and atypical categories and their effects on smoking reduction in schizophrenic patients.,Partial Agonist
7870880,"The drugs being evaluated in this study are SDZ HDC-912 and OPC-4392, both of which have dopaminergic properties. SDZ HDC-912 is a dopamine D2 receptor partial agonist, while OPC-4392 acts as an agonist at presynaptic dopamine autoreceptors and as an antagonist at post-synaptic D2 receptors. The benzamide derivative amisulpride is also included in the study as a comparison. Therefore, the mechanism of action is dopamine receptor modulation, with varying subtype preferences depending on the specific drug.",Partial Agonist
17728427,"The drug being evaluated is aripiprazole. The receptors and binding modes are: dopamine D2 receptor partial agonist, 5-HT2 receptor antagonist, and serotonin 5-HT1A receptor partial agonist.",Partial Agonist
34861170,The receptor(s) are: serotonin 5-HT2A. The subtype(s) are: N/A. The binding mode is: antagonist. Therefore the mechanism of action is: selective serotonin 5-HT2A receptor antagonist.,Partial Agonist
23523692,"The mechanism of action and receptor subtype are not explicitly stated in the article. However, it is mentioned that the drug being tested is MK-0249, which is described as a histamine H3 inverse agonist. Therefore, the target of the chemical reaction is the histamine H3 receptor and the binding mode is inverse agonist.",Partial Agonist
19907417,The receptor(s) are: serotonin 5-HT2A. The subtype(s) are: N/A. The binding mode is: inverse agonist. Therefore the mechanism of action is: serotonin 5-HT2A receptor inverse agonist.,Partial Agonist
36190440,The receptor(s) are: serotonin 5-HT2A. The subtype(s) are: inverse agonist/antagonist. Therefore the mechanism of action is: selective serotonin 5-HT2A receptor inverse agonist/antagonist.,Partial Agonist
22954754,The receptor(s) are: serotonin 5-HT2A and dopamine D2. The subtype(s) are: selective 5-HT2A-inverse agonist. The binding mode is: inverse agonist. Therefore the mechanism of action is: enhancement of 5-HT2A receptor blockade and partial agonist activity at dopamine D2 receptors.,Partial Agonist
34404290,"The article mentions pimavanserin, but it does not provide information about its mechanism of action or its target receptor subtype. The abstract only lists indications that the drug is being evaluated for, including antipsychotic treatment, major depressive disorder, and psychotic disorders.",Partial Agonist
23764683,The receptor(s) are: histamine H2. The subtype(s) are: N/A. The binding mode is: antagonist. Therefore the mechanism of action is: histamine H2 receptor antagonist.,Partial Agonist
24844747,"The drug being evaluated is tiagabine, which inhibits the GAT1 GABA uptake transporter and increases synaptic GABA levels. The receptor subtype being evaluated is the GABA-benzodiazepine receptor (GABA-BZR), with a focus on the α1 and α5 subtypes. Therefore, the mechanism of action is synaptic inhibition via GABA-BZR activation.",Partial Agonist
3977547,"The drugs being evaluated are dopamine agonists, including apomorphine, dopamine hydrochloride, and levodopa-carbidopa. The receptor(s) being targeted is the dopamine receptor subtype(s), but it is not specified which subtype(s) are involved in this study. Therefore, the mechanism of action is dopamine agonist.",Partial Agonist
33626254,The receptor(s) are: muscarinic. The subtype(s) are: N/A. The binding mode(s) are: agonist (for xanomeline) and antagonist (for trospium). Therefore the mechanism of action is: muscarinic cholinergic receptor agonist (for xanomeline) and peripheral antagonist (for trospium) for schizophrenia.,Agonist
32294346,"The receptor(s) are: trace amine-associated receptor 1 (TAAR1) and 5-hydroxytryptamine type 1A (5-HT1A). The subtype(s) are: N/A. The binding mode(s) are: agonist. Therefore the mechanism of action is: agonist activity at TAAR1 and 5-HT1A receptors, and does not act on dopamine D2 receptors.",Agonist
9875725,The receptor(s) are: serotonin and dopamine. The subtype(s) are: 2A and unspecified for dopamine. The binding mode(s) are: agonist for serotonin-2A and unspecified for dopamine. Therefore the mechanism of action is: serotonin-2A agonist action.,Agonist
35191924,"The receptor(s) are: α2A-adrenergic receptors. The subtype(s) are: N/A. The binding mode(s) are: agonist. Therefore, the mechanism of action is: selective α2A-adrenergic receptor agonist.",Agonist
28601891,The mechanism of action is: glucagon-like peptide-1 receptor agonist. The target of the chemical reaction is the GLP-1 receptor.,Agonist
36198061,The receptor(s) are: adrenergic alpha-2. The subtype(s) are: N/A. The binding mode(s) are: agonist. Therefore the mechanism of action is: adrenergic alpha-2 receptor agonist. The drug being evaluated is dexmedetomidine.,Agonist
2869745,The receptor(s) are: dopamine. The subtype(s) are: autoreceptor. The binding mode(s) are: agonist. Therefore the mechanism of action is: dopamine agonist targeting the dopamine autoreceptor.,Agonist
